Activity ,Category ,Monthly Visitors ,Rating (1-5) ,Estimated Monthly Revenue ($) ,Peak Season ,Eco-Friendliness (1-5) ,Difficulty (1-5) ,Duration (hours) ,Local Employment Impact (1-5) 
Local Art Gallery Tours ,Cultural Experiences ,300 ,4.0 ,"6,000 ",Year-round ,5 ,1 ,2 ,4 
Full Moon Beach Parties ,Nightlife & Entertainment ,500 ,4.1 ,"25,000 ",Jun-Aug ,2 ,1 ,6 ,3 
Snorkeling with Sea Turtles ,Water Activities ,800 ,4.9 ,"64,000 ",May-Sep ,4 ,2 ,3 ,4 
Coral Reef Conservation Tours ,Eco-Tourism ,200 ,4.5 ,"10,000 ",Year-round ,5 ,2 ,3 ,4 
Island Hopping Tours ,Adventure Activities ,600 ,4.4 ,"60,000 ",Jun-Aug ,3 ,2 ,8 ,4 
Local Temple Visits ,Cultural Experiences ,700 ,4.2 ,"14,000 ",Year-round ,5 ,1 ,3 ,3 
Beachfront Fitness Classes ,Wellness Activities ,300 ,4.1 ,"15,000 ",Year-round ,5 ,3 ,1 ,3 
Sunset SUP Tours ,Water Activities ,250 ,4.5 ,"18,750 ",Jun-Aug ,5 ,2 ,2 ,3 
Local Coffee Tasting Tours ,Cultural Experiences ,200 ,4.3 ,"8,000 ",Year-round ,5 ,1 ,2 ,4 
Night Sky Stargazing Tours ,Unique Attractions ,150 ,4.6 ,"7,500 ",May-Sep ,5 ,1 ,2 ,2 
Beach Horseback Riding ,Adventure Activities ,200 ,4.2 ,"20,000 ",Year-round ,3 ,2 ,2 ,3 
Local Craft Workshops ,Cultural Experiences ,250 ,4.4 ,"12,500 ",Year-round ,5 ,2 ,3 ,5 
Eco-friendly Hotel Tours ,Eco-Tourism ,100 ,4.0 ,"2,000 ",Year-round ,5 ,1 ,1.5 ,3 
Beachfront Tai Chi Classes ,Wellness Activities ,150 ,4.2 ,"7,500 ",Year-round ,5 ,2 ,1 ,3 
Underwater Scooter Tours ,Water Activities ,200 ,4.3 ,"30,000 ",Jun-Aug ,3 ,2 ,2 ,3 
Local Music Jam Sessions ,Nightlife & Entertainment ,300 ,4.1 ,"9,000 ",Year-round ,5 ,1 ,3 ,4 
Beach Olympics ,Family-Friendly ,250 ,3.9 ,"5,000 ",Jun-Aug ,5 ,2 ,4 ,3 
Eco-friendly Soap Making Workshops ,Cultural Experiences ,100 ,4.2 ,"5,000 ",Year-round ,5 ,1 ,2 ,3 
Seaplane Tours ,Scenic Views ,50 ,4.8 ,"25,000 ",Jun-Aug ,2 ,1 ,1 ,2 
Beachfront Meditation Sessions ,Wellness Activities ,200 ,4.3 ,"10,000 ",Year-round ,5 ,1 ,1 ,3 
